poi_id,name,category,zone,latitude,longitude,address,source,confidence,notes,record_origin,osm_type,osm_id,osm_primary_key,osm_primary_value,zone_matches,matched_baseline_poi_id
OSM-0714,Indomaret,minimarket,Mlati,-7.7348931,110.3428181,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Mlati. brand=Indomaret,osm,node,13823031998,shop,convenience,Mlati,
OSM-0715,Indomaret Kebon Agung Mlati,minimarket,Depok/Mlati/Ngaglik Selatan,-7.743351,110.3559544,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Depok/Mlati/Ngaglik Selatan. brand=indomaret,osm,node,13823031999,shop,convenience,Depok/Mlati/Ngaglik Selatan,
OSM-0716,Laura's Backpacker 523 nr 1 & Reception,lodging,Depok/Mlati,-7.7909614,110.3710315,,OpenStreetMap Overpass,medium,OSM tourism=hostel; zone query match: Depok/Mlati.,osm,node,13838833768,tourism,hostel,Depok/Mlati,
OSM-0717,,cafe,Depok,-7.7990933,110.3723329,,OpenStreetMap Overpass,low,OSM amenity=cafe; zone query match: Depok.,osm,node,13838851674,amenity,cafe,Depok,
OSM-0718,Nasi Goreng Athaya,restaurant,Gamping,-7.8114727,110.3280642,,OpenStreetMap Overpass,medium,OSM amenity=restaurant; zone query match: Gamping. cuisine=asian,osm,node,13847755025,amenity,restaurant,Gamping,
OSM-0719,Bakwan Kawi 'DekNuna',restaurant,Depok/Mlati,-7.7820612,110.3707564,,OpenStreetMap Overpass,medium,OSM amenity=restaurant; zone query match: Depok/Mlati.,osm,node,13866990249,amenity,restaurant,Depok/Mlati,
OSM-0720,Rumah Tara,lodging,Depok/Mlati,-7.7815938,110.3711707,,OpenStreetMap Overpass,medium,OSM tourism=guest_house; zone query match: Depok/Mlati.,osm,node,13866990251,tourism,guest_house,Depok/Mlati,
OSM-0721,Indomaret,minimarket,Depok,-7.754444,110.410235,,OpenStreetMap Overpass,medium,OSM shop=convenience; zone query match: Depok. brand=Indomaret; operator=PT. Indomarco Prismatama,osm,node,13927394702,shop,convenience,Depok,
OSM-0722,2nd Experimental State Elementary Scool,school,Depok/Mlati,-7.7729219,110.3718978,,OpenStreetMap Overpass,medium,OSM amenity=school; zone query match: Depok/Mlati.,osm,node,1517532161,amenity,school,Depok/Mlati,
OSM-0723,Asia Afrika,lodging,Depok/Mlati,-7.7900951,110.3638906,,OpenStreetMap Overpass,medium,OSM tourism=hotel; zone query match: Depok/Mlati.,osm,node,1640508693,tourism,hotel,Depok/Mlati,
